type,address,totalGas,totalFee,calls,rank0,rank
EOA,0x071aafb1906897763f26c74a6660be4cd8b80051,105000,1799488381033980,5,0.0024153135252501733,0.000026660869822127335
EOA,0xa8c94ae38b04140794a9394b76ac6d0a83ac0b02,21000,607934029831500,1,0.0008159826427265702,0.000011193717720852384
EOA,0xe7c147cd1a7c05a6e73217645547582024e87a9b,42000,149166211550613.97,2,0.00020021422314575273,1.8319648661846863e-7
EOA,0xba76c6980428a0b10cfc5d8ccb61949677a61233,125245903,211115827100924400,132,0.28336438176847073,0.02889280575665265
EOA,0x947b7742c403f20e5faccdac5e092c943e7d0277,18804980,443684439348501440,41,0.595523171250329,0.9650006276033868
EOA,0xb0e1650a9760e0f383174af042091fc544b8356f,1835686,2057469775168016.2,1,0.00276158191857917,0.00003485323934600206
EOA,0x8688515028955734350067695939423222009623,163836,316656338730448,1,0.00042502321540547315,8.255675093418806e-7
EOA,0x6edac7c2aaed7b0a455249aaf5be8b6b1597f8e1,211550,426193979749884,2,0.0005720470854491475,9.421160873905769e-7
EOA,0xe6b328e141ef304739892a864cebfe148a04353e,12421104,10928408442417282,6,0.014668354071428824,0.00038031931931616563
EOA,0x2d12d0907a388811e3aa855a550f959501d303ee,44350054,54742237737270410,28,0.07347625503050856,0.00445826448315822
EOA,0x31562ae726afebe25417df01bedc72ef489f45b3,4457967,19086844643595380,4,0.02561878948922995,0.0011911445221836165
EOA,0x6e74053a3798e0fc9a9775f7995316b27f21c4d2,21000,69626028876526,1,0.00009345361216408813,0.0000012820044199265613
EOA,0xbaeb92889696217a3a6be2175e5a95dc4cffc9f7,21000,48749126601464,1,0.00006543216731246326,8.976039101909302e-7
CONTRACT,0xa8c94ae38b04140794a9394b76ac6d0a83ac0b02,105000,1799488381033980,5,0.0024153135252501733,0.000019508189773146437
CONTRACT,oxtransfer,0,0,0,undefined,0.000030130214946064394
CONTRACT,0xe7c147cd1a7c05a6e73217645547582024e87a9b,42000,149166211550613.97,2,0.00020021422314575273,1.34047833044091e-7
CONTRACT,0xa1ebb6a4b856df8bf6c3aca88a9115a9ab3b2e02,344624,572220281182350,8,0.0007680468510544326,0.0002042155804099068
CONTRACT,0xba76c6980428a0b10cfc5d8ccb61949677a61233,42000,94010923717758,2,0.0001261835630448983,0.00003355088238435823
CONTRACT,0x7d44339b5453660f061f555f10cb97664d32243a,1513189,2477583879350454,1,0.0033254684591508604,0.0008842070904763096
CONTRACT,0xa12bc993d8144404a8c8c812816048275a066ced,1513189,2429919733473221.5,1,0.0032614925772167813,0.0008671965762824591
CONTRACT,0x87fc4b27385bb4e69a40027931229d74ef4d1943,1042800,1708989091603199,5,0.0022938433562335234,0.0006099088248581839
CONTRACT,0xf50ab9c194f44eb3fd1bd1e6ca5674aaed4d9bc4,1159253,2322893819819746,2,0.003117840003783124,0.0008290008677513242
CONTRACT,0xbdf0d870d8f834bf3d8c3a0d3b4b954094146efa,3923596,6312833828535363,1,0.008473226662323405,0.0022529418594913787
CONTRACT,0x88a1ee1f7d5906d0de3105ba33e2247fea690c40,415088,780135096244461.9,2,0.0010471147629188351,0.00027841680331307933
CONTRACT,0x56ee6177e302be90707585f386c1dca87f9e3987,1159253,2377966241201734,2,0.003191759438681482,0.0008486552681054383
CONTRACT,0x9a99cec3ba8a45fd07185862fdd7d2e984497bae,3923596,6300193367647730,1,0.008456260353194054,0.002248430696322742
CONTRACT,0x1627032b634131a2d39b5b0de257c83f05e17196,415088,778892214695947.9,2,0.0010454465395248699,0.00027797324025675757
CONTRACT,0xb78ebe401b54849ce9c829d1236328d16f2ebcfc,1159253,2280931047856896,2,0.003061516633347899,0.0008140250758861786
CONTRACT,0x06dce0c05351ae31c3ccb5d34e4aee61611beaaf,3923596,6236512585809384,1,0.00837078658448637,0.0022257041201216962
CONTRACT,0xb433f98ab4da08cb8b4e4aea0e103e0ac26dd283,448832,788799077445130,4,0.0010587437521343492,0.000281508829247391
CONTRACT,0x3a590226f4069ec7fb4c6b72cbf0fd6ada4f0328,1159253,2280019393287438,2,0.0030602929902084513,0.0008136997220440349
CONTRACT,0x1e469c6e9a776ae15409c485caf306c06df8cf5f,3923596,6402597157087985,1,0.008593709008199984,0.002284976848188428
CONTRACT,0x0a64a5d92d94cd5a57bea056650d81abfa9c5591,484793,895732849358076,6,0.0012022726508644148,0.00031967165397548536
CONTRACT,0x763e51296e3ac7baa69e2cbc384dbde22e72c327,1216653,2359072835959593,3,0.0031664002878804332,0.000841912536600936
CONTRACT,0x81cf89b37a48551b6ffedcc35d799e04af1a20aa,3923596,6491462881820184,1,0.008712986570166519,0.0023166914975140955
CONTRACT,0x76e66d278f3603bcd3bc192e0569e65bf5c187b6,474166,867258546259433,5,0.0011640538048184582,0.0003095096647463689
CONTRACT,0x3d9242bdea9f8ff55bf6717e7d1652774f1e7ed6,3923834,6353597056587692,2,0.008527939978111014,0.0022674895547581163
